freebsd/man3/ldiv.3              ldiv
freebsd/man3/linkaddr.3          link_addr,link_ntoa
freebsd/man3/llabs.3             llabs
freebsd/man3/lldiv.3             lldiv
freebsd/man3/localeconv.3        localeconv
freebsd/man3/lockf.3             lockf
freebsd/man3/lsearch.3           lsearch,lfind
freebsd/man3/mac.3               mac
freebsd/man3/mac_free.3          mac_free
freebsd/man3/mac_get.3           mac_get_file,mac_get_link,mac_get_fd,mac_get_peer,mac_get_pid,mac_get_proc
freebsd/man3/mac_is_present.3    mac_is_present
freebsd/man3/mac_prepare.3       mac_prepare,mac_prepare_ifnet_label,.Vt,mac_t
freebsd/man3/mac_set.3           mac_set_file,mac_set_fd,mac_set_proc
freebsd/man3/mac_text.3          mac_from_text,mac_to_text
freebsd/man3/makecontext.3       makecontext
freebsd/man3/mblen.3             mblen
freebsd/man3/mbrlen.3            mbrlen
freebsd/man3/mbrtowc.3           mbrtowc,mbrtoc16,mbrtoc32
freebsd/man3/mbsinit.3           mbsinit
freebsd/man3/mbsrtowcs.3         mbsrtowcs,mbsnrtowcs
freebsd/man3/mbstowcs.3          mbstowcs
freebsd/man3/mbtowc.3            mbtowc
freebsd/man3/memccpy.3           memccpy
freebsd/man3/memchr.3            memchr
freebsd/man3/memcmp.3            memcmp
freebsd/man3/memcpy.3            memcpy
freebsd/man3/memmem.3            memmem
freebsd/man3/memmove.3           memmove
freebsd/man3/memory.3            malloc,free,realloc,calloc,alloca,mmap
freebsd/man3/memset.3            memset
freebsd/man3/mktemp.3            mktemp
freebsd/man3/modf.3              modf,modff,modfl
freebsd/man3/moncontrol.3        moncontrol,monstartup
freebsd/man3/mpool.3             mpool
freebsd/man3/multibyte.3         multibyte
freebsd/man3/newlocale.3         newlocale
freebsd/man3/nextwctype.3        nextwctype
freebsd/man3/nice.3              nice
freebsd/man3/nl_langinfo.3       nl_langinfo
freebsd/man3/nlist.3             nlist
freebsd/man3/nsdispatch.3        nsdispatch
freebsd/man3/open_memstream.3    open_memstream,open_wmemstream
freebsd/man3/pause.3             pause
freebsd/man3/pkru.3              Protection
freebsd/man3/popen.3             popen,pclose,.Tn,I/O
freebsd/man3/posix1e.3           posix1e
freebsd/man3/posix_spawn.3       posix_spawn,posix_spawnp
freebsd/man3/posix_spawn_file_actions_addopen.3 posix_spawn_file_actions_addopen,posix_spawn_file_actions_adddup2,posix_spawn_file_actions_addclose
freebsd/man3/posix_spawn_file_actions_init.3 posix_spawn_file_actions_init,posix_spawn_file_actions_destroy
freebsd/man3/posix_spawnattr_getflags.3 posix_spawnattr_getflags,posix_spawnattr_setflags
freebsd/man3/posix_spawnattr_getpgroup.3 posix_spawnattr_getpgroup,posix_spawnattr_setpgroup
freebsd/man3/posix_spawnattr_getschedparam.3 posix_spawnattr_getschedparam,posix_spawnattr_setschedparam
freebsd/man3/posix_spawnattr_getschedpolicy.3 posix_spawnattr_getschedpolicy,posix_spawnattr_setschedpolicy
freebsd/man3/posix_spawnattr_getsigdefault.3 posix_spawnattr_getsigdefault,posix_spawnattr_setsigdefault
